ITEMS - POSITION
A 770 920
A 820 880
A 870 920
A 1350 920
A 1400 880
A 1450 920
A 1630 920
A 1680 880
A 1730 920
A 2420 765
A 2470 800
A 2470 870
A 2610 910
A 2660 870
A 2710 910
A 2760 910
A 2810 870
A 2860 910
A 3230 790
A 3185 830
A 3185 900
A 3370 790
A 3410 830
A 3410 900
A 2790 565
A 2500 545
A 2390 260
A 2360 315
A 2360 385
A 2360 455
A 2825 275
A 2875 235
A 2925 275
A 3165 275
A 3215 235
A 3265 275
A 3640 250
A 3710 250
A 3740 320
A 3740 390
A 3740 460
A 3740 530
A 3740 600
A 4020 970
A 3840 930
A 3860 785
A 4585 785
A 4585 855
A 4585 925
A 4950 940
A 5000 900
A 5050 940
A 5330 940
A 5380 900
A 5430 940
A 5590 940
A 5640 900
A 5690 940
A 6120 940
A 6170 900
A 6220 940
A 6530 940
A 6580 900
A 6630 940
A 7390 620
A 7140 540
A 7190 500
A 7240 540
A 6710 640
A 6550 675
A 6270 525
A 6220 575
A 6130 625
A 5515 640
A 5565 590
A 5615 640
A 5350 640
A 5400 590
A 5450 640
A 4560 530
A 4610 490
A 4660 530
A 4200 270
A 4540 320
A 4590 280
A 5640 320
A 5330 20
A 5270 60
A 5270 130
A 5755 225
A 6840 -70
A 6890 -120
A 6940 -70
A 6890 -20
L 3170 660
L 3920 834
L 4860 634
l 5250 190
H 2600 600
H 3585 995
H 6625 580
H 4060 70
H 4960 290
h 3800 1040
h 5135 585
R 3720 1035
R 4200 340
R 4200 410
r 4310 792
r 5565 734
r 5870 252
S 2613 710
S 6720 720
S 6555 750
s 5460 370
s 5525 225
s 6740 160
F 6280 201
